source_iri	canonical_iri	kind	class	swap	neg
http://honk.org/src#wk.symbol	http://honk.org/canon#Symbol	pos	identity		
http://honk.org/src#wk.prefix	http://honk.org/canon#Prefix	pos	identity		
http://honk.org/src#wk.particle	http://honk.org/canon#Particle	pos	identity		
http://honk.org/src#wk.article	http://honk.org/canon#Article	pos	identity		
http://honk.org/src#wk.phrase	http://honk.org/canon#Phrase	pos	identity		
http://honk.org/src#wk.suffix	http://honk.org/canon#Suffix	pos	identity		
http://honk.org/src#wk.proverb	http://honk.org/canon#Proverb	pos	identity		
http://honk.org/src#wk.contraction	http://honk.org/canon#Contraction	pos	identity		
http://honk.org/src#wk.infix	http://honk.org/canon#Infix	pos	identity		
http://honk.org/src#wk.interfix	http://honk.org/canon#Interfix	pos	identity		
http://honk.org/src#wn.antonym	http://honk.org/canon#neqTo	edge	nonidentity		
http://honk.org/src#wn.attribute	http://honk.org/canon#hasProperty	edge	nonidentity		
http://honk.org/src#wn.domain_member_region	http://honk.org/canon#relatedTo	edge	nonidentity		
http://honk.org/src#wn.domain_member_category	http://honk.org/canon#relatedTo	edge	nonidentity		
http://honk.org/src#wn.hypernym	http://honk.org/canon#isA	edge	nonidentity		
http://honk.org/src#wn.instance_hypernym	http://honk.org/canon#isA	edge	nonidentity		
http://honk.org/src#wn.hyponym	http://honk.org/canon#isA	edge	nonidentity	swap	
http://honk.org/src#wn.instance_hyponym	http://honk.org/canon#instanceOf	edge	nonidentity	swap	
http://honk.org/src#wn.compositeFormWith	http://honk.org/canon#compositeFormWith	edge	identity		
http://honk.org/src#wn.member_holonym	http://honk.org/canon#partOf	edge	nonidentity	swap	
http://honk.org/src#wn.substance_holonym	http://honk.org/canon#partOf	edge	nonidentity	swap	
http://honk.org/src#wn.part_holonym	http://honk.org/canon#partOf	edge	nonidentity	swap	
http://honk.org/src#wn.member_meronym	http://honk.org/canon#partOf	edge	nonidentity		
http://honk.org/src#wn.substance_meronym	http://honk.org/canon#partOf	edge	nonidentity		
http://honk.org/src#wn.part_meronym	http://honk.org/canon#partOf	edge	nonidentity		
http://honk.org/src#wn.product	http://honk.org/canon#product	edge	identity		
http://honk.org/src#wn.similar	http://honk.org/canon#relatedTo	edge	nonidentity		
http://honk.org/src#wn.also	http://honk.org/canon#relatedTo	edge	nonidentity		
http://honk.org/src#wn.adj_all	http://honk.org/canon#Adjective	pos	nonidentity		
http://honk.org/src#wn.adj	http://honk.org/canon#Adjective	pos	nonidentity		
http://honk.org/src#wn.adj_pert	http://honk.org/canon#RelationalAdjective	pos	nonidentity		
http://honk.org/src#wn.adv	http://honk.org/canon#Adverb	pos	nonidentity		
http://honk.org/src#wn.adv_all	http://honk.org/canon#Adverb	pos	nonidentity		
http://honk.org/src#wn.noun_tops	http://honk.org/canon#BeginningNoun	pos	nonidentity		
http://honk.org/src#wn.noun_act	http://honk.org/canon#AgentNoun	pos	nonidentity		
http://honk.org/src#wn.noun_animal	http://honk.org/canon#AnimalNoun	pos	nonidentity		
http://honk.org/src#wn.noun_artifact	http://honk.org/canon#ArtifactNoun	pos	nonidentity		
http://honk.org/src#wn.noun_attribute	http://honk.org/canon#AttributeNoun	pos	nonidentity		
http://honk.org/src#wn.noun_body	http://honk.org/canon#BodyNoun	pos	nonidentity		
http://honk.org/src#wn.noun_cognition	http://honk.org/canon#CognitionNoun	pos	nonidentity		
http://honk.org/src#wn.noun_communication	http://honk.org/canon#CommunicationNoun	pos	nonidentity		
http://honk.org/src#wn.noun_event	http://honk.org/canon#EventNoun	pos	nonidentity		
http://honk.org/src#wn.noun_feeling	http://honk.org/canon#FeelingNoun	pos	nonidentity		
http://honk.org/src#wn.noun_food	http://honk.org/canon#FoodNoun	pos	nonidentity		
http://honk.org/src#wn.noun_group	http://honk.org/canon#GroupNoun	pos	nonidentity		
http://honk.org/src#wn.noun_location	http://honk.org/canon#LocationNoun	pos	nonidentity		
http://honk.org/src#wn.noun_motive	http://honk.org/canon#MotiveNoun	pos	nonidentity		
http://honk.org/src#wn.noun_object	http://honk.org/canon#ObjectNoun	pos	nonidentity		
http://honk.org/src#wn.noun_person	http://honk.org/canon#PersonNoun	pos	nonidentity		
http://honk.org/src#wn.noun_phenomenon	http://honk.org/canon#PhenomenonNoun	pos	nonidentity		
http://honk.org/src#wn.noun_plant	http://honk.org/canon#PlantNoun	pos	nonidentity		
http://honk.org/src#wn.noun_possession	http://honk.org/canon#PossessionNoun	pos	nonidentity		
http://honk.org/src#wn.noun_process	http://honk.org/canon#ProcessNoun	pos	nonidentity		
http://honk.org/src#wn.noun_quantity	http://honk.org/canon#QuantityNoun	pos	nonidentity		
http://honk.org/src#wn.noun_relation	http://honk.org/canon#RelationNoun	pos	nonidentity		
http://honk.org/src#wn.noun_shape	http://honk.org/canon#ShapeNoun	pos	nonidentity		
http://honk.org/src#wn.noun_state	http://honk.org/canon#StateNoun	pos	nonidentity		
http://honk.org/src#wn.noun_substance	http://honk.org/canon#SubstanceNoun	pos	nonidentity		
http://honk.org/src#wn.noun_time	http://honk.org/canon#TimeNoun	pos	nonidentity		
http://honk.org/src#wn.noun_linkdef	http://honk.org/canon#Noun	pos	nonidentity		
http://honk.org/src#wn.verb_body	http://honk.org/canon#BodyVerb	pos	nonidentity		
http://honk.org/src#wn.verb_change	http://honk.org/canon#ChangeVerb	pos	nonidentity		
http://honk.org/src#wn.verb_cognition	http://honk.org/canon#CognitionVerb	pos	nonidentity		
