honk:noun.phenomenon	honk:PhenomenonNoun	1	1	1	1
honk:noun.plant	honk:PlantNoun	1	1	1	1
honk:noun.possession	honk:PossessionNoun	1	1	1	1
honk:noun.process	honk:ProcessNoun	1	1	1	1
honk:noun.quantity	honk:QuantityNoun	1	1	1	1
honk:noun.relation	honk:RelationNoun	1	1	1	1
honk:noun.shape	honk:ShapeNoun	1	1	1	1
honk:noun.state	honk:StateNoun	1	1	1	1
honk:noun.substance	honk:SubstanceNoun	1	1	1	1
honk:noun.time	honk:TimeNoun	1	1	1	1
honk:noun.linkdef	honk:Noun	1	1	1	1
honk:verb.body	honk:BodyVerb	1	1	1	1
honk:verb.change	honk:ChangeVerb	1	1	1	1
honk:verb.cognition	honk:CognitionVerb	1	1	1	1
honk:verb.communication	honk:CommunicationVerb	1	1	1	1
honk:verb.competition	honk:CompetitionVerb	1	1	1	1
honk:verb.consumption	honk:ConsumptionVerb	1	1	1	1
honk:verb.contact	honk:ContactVerb	1	1	1	1
honk:verb.creation	honk:MaterialisationVerb	1	1	1	1
honk:verb.emotion	honk:EmotionVerb	1	1	1	1
honk:verb.motion	honk:MotionVerb	1	1	1	1
honk:verb.perception	honk:PerceptionVerb	1	1	1	1
honk:verb.possession	honk:PossessionVerb	1	1	1	1
honk:verb.social	honk:SocialVerb	1	1	1	1
honk:verb.stative	honk:StativeVerb	1	1	1	1
honk:verb.weather	honk:WeatherVerb	1	1	1	1
honk:adj.ppl	honk:ParticipleAdjective	1	1	1	1
honk:idiom	honk:Idiom	1	1	1	1
